surv_month,irrigation,species,size,growth_rate
18,low,arcto,1gal,22.16666667
19,low,arcto,1gal,21.16666667
20,low,arcto,1gal,22.16666667
21,low,arcto,1gal,20.25
22,low,arcto,1gal,19.16666667
23,low,arcto,1gal,19.58333333
1,med,arcto,"4""",7.7
2,med,arcto,"4""",6.725
3,med,arcto,"4""",7.55
4,med,arcto,"4""",8.8125
5,med,arcto,"4""",9.34375
6,med,arcto,"4""",9
7,med,arcto,"4""",10.09375
8,med,arcto,"4""",9.375
9,med,arcto,"4""",9.875
10,med,arcto,"4""",10.21875
11,med,arcto,"4""",9.8125
12,med,arcto,"4""",11.375
13,med,arcto,"4""",13.34375
14,med,arcto,"4""",15.4375
15,med,arcto,"4""",18.0625
16,med,arcto,"4""",17.875
17,med,arcto,"4""",20.08333333
18,med,arcto,"4""",18.41666667
19,med,arcto,"4""",18.5
20,med,arcto,"4""",18.5
21,med,arcto,"4""",17.5
22,med,arcto,"4""",16.25
23,med,arcto,"4""",17.91666667
1,med,arcto,1gal,8.15
2,med,arcto,1gal,7.95
3,med,arcto,1gal,9.2
4,med,arcto,1gal,8.85
5,med,arcto,1gal,9.95
6,med,arcto,1gal,8.875
7,med,arcto,1gal,10.175
8,med,arcto,1gal,9.65
9,med,arcto,1gal,9.25
10,med,arcto,1gal,10.2
11,med,arcto,1gal,10.1
12,med,arcto,1gal,10.225
13,med,arcto,1gal,12.25
14,med,arcto,1gal,14.375
15,med,arcto,1gal,11.21875
16,med,arcto,1gal,13.75
17,med,arcto,1gal,13.08333333
18,med,arcto,1gal,12.875
19,med,arcto,1gal,14.5
20,med,arcto,1gal,13.66666667
21,med,arcto,1gal,14
22,med,arcto,1gal,12.16666667
23,med,arcto,1gal,11.83333333
1,high,arte,"4""",12.6
2,high,arte,"4""",11.025
3,high,arte,"4""",12.8
4,high,arte,"4""",14.7
5,high,arte,"4""",18.35
6,high,arte,"4""",19.825
7,high,arte,"4""",22.5
8,high,arte,"4""",25.15
9,high,arte,"4""",30.125
10,high,arte,"4""",28.675
11,high,arte,"4""",28.35
12,high,arte,"4""",30.975
13,high,arte,"4""",34.2
14,high,arte,"4""",38.15
15,high,arte,"4""",41.1
16,high,arte,"4""",42.85
17,high,arte,"4""",41.825
18,high,arte,"4""",40.95
19,high,arte,"4""",42.2
20,high,arte,"4""",40.7
21,high,arte,"4""",41.15
22,high,arte,"4""",44.3
23,high,arte,"4""",46.25
1,high,arte,1gal,13.275
2,high,arte,1gal,12.375
3,high,arte,1gal,16.85
4,high,arte,1gal,22.425
5,high,arte,1gal,26.225
6,high,arte,1gal,27.925
7,high,arte,1gal,32.35
8,high,arte,1gal,32.35
9,high,arte,1gal,36.15
10,high,arte,1gal,37.5
11,high,arte,1gal,38.85
12,high,arte,1gal,41.1
13,high,arte,1gal,44.25
14,high,arte,1gal,48.525
15,high,arte,1gal,50.4
16,high,arte,1gal,48.3
17,high,arte,1gal,47.2
18,high,arte,1gal,47.85
19,high,arte,1gal,45.25
20,high,arte,1gal,45.8
21,high,arte,1gal,47.55
22,high,arte,1gal,48.2
23,high,arte,1gal,51.55
1,low,arte,"4""",12.3
2,low,arte,"4""",11.33
3,low,arte,"4""",15.9
4,low,arte,"4""",19.4
5,low,arte,"4""",22.575
6,low,arte,"4""",23.5
7,low,arte,"4""",23.05
8,low,arte,"4""",22.925
9,low,arte,"4""",24.15
10,low,arte,"4""",27.9
11,low,arte,"4""",31.15
12,low,arte,"4""",36.55
13,low,arte,"4""",47.85
14,low,arte,"4""",54.15
15,low,arte,"4""",56.8
16,low,arte,"4""",49.8
17,low,arte,"4""",45.6
18,low,arte,"4""",43.45
19,low,arte,"4""",47.25
20,low,arte,"4""",48.3
21,low,arte,"4""",46.7
22,low,arte,"4""",47
23,low,arte,"4""",55.15
1,low,arte,1gal,14.375
2,low,arte,1gal,13.3
3,low,arte,1gal,19.25
4,low,arte,1gal,23.25
5,low,arte,1gal,24.175
6,low,arte,1gal,24.8
7,low,arte,1gal,24.625
8,low,arte,1gal,22.25
9,low,arte,1gal,26.825
10,low,arte,1gal,28.45
11,low,arte,1gal,31.95
12,low,arte,1gal,37.55
13,low,arte,1gal,47.5
14,low,arte,1gal,51.95
15,low,arte,1gal,53.4
16,low,arte,1gal,48.65
17,low,arte,1gal,46.6
18,low,arte,1gal,48.95
19,low,arte,1gal,52.05
20,low,arte,1gal,49.95
21,low,arte,1gal,49.5
22,low,arte,1gal,48.45
23,low,arte,1gal,53.35
1,med,arte,"4""",11.95
2,med,arte,"4""",12.05
3,med,arte,"4""",18.75
4,med,arte,"4""",25.6
5,med,arte,"4""",31.675
6,med,arte,"4""",30.375
7,med,arte,"4""",31.25
8,med,arte,"4""",31.35
9,med,arte,"4""",34.1
10,med,arte,"4""",34.65
11,med,arte,"4""",35.6
12,med,arte,"4""",39.3
13,med,arte,"4""",49.05
14,med,arte,"4""",57.1
15,med,arte,"4""",57.6
16,med,arte,"4""",57.425
17,med,arte,"4""",50.65
18,med,arte,"4""",58.75
19,med,arte,"4""",62.1
20,med,arte,"4""",58.55
21,med,arte,"4""",58.5
22,med,arte,"4""",63.05
23,med,arte,"4""",62.3
1,med,arte,1gal,12.625
2,med,arte,1gal,13.7
3,med,arte,1gal,18.45
4,med,arte,1gal,22.05
5,med,arte,1gal,25.475
6,med,arte,1gal,27.725
7,med,arte,1gal,30.15
8,med,arte,1gal,32.3
9,med,arte,1gal,37.475
10,med,arte,1gal,37.775
11,med,arte,1gal,41.45
12,med,arte,1gal,45.8
13,med,arte,1gal,52.05
14,med,arte,1gal,57.1
15,med,arte,1gal,56.4
16,med,arte,1gal,58.6
17,med,arte,1gal,56.85
18,med,arte,1gal,55.65
19,med,arte,1gal,57.7
20,med,arte,1gal,59.05
21,med,arte,1gal,57.6
22,med,arte,1gal,58
23,med,arte,1gal,61.8
1,high,salvia,1gal,12.525
2,high,salvia,1gal,11.675
3,high,salvia,1gal,27.1
4,high,salvia,1gal,37.6
5,high,salvia,1gal,41.175
6,high,salvia,1gal,36.1
7,high,salvia,1gal,35.775
8,high,salvia,1gal,36.15
9,high,salvia,1gal,39.45
10,high,salvia,1gal,45.8
11,high,salvia,1gal,51.125
12,high,salvia,1gal,56.25
13,high,salvia,1gal,54.6
14,high,salvia,1gal,45.85
15,high,salvia,1gal,43.3
16,high,salvia,1gal,46.25
17,high,salvia,1gal,44.175
18,high,salvia,1gal,45.7
19,high,salvia,1gal,46.35
20,high,salvia,1gal,46.1
21,high,salvia,1gal,50.55
22,high,salvia,1gal,57.85
23,high,salvia,1gal,59.55
1,high,salvia,"4""",14.225
2,high,salvia,"4""",11.9
3,high,salvia,"4""",21.4
4,high,salvia,"4""",24.475
5,high,salvia,"4""",28.475
6,high,salvia,"4""",27.15
7,high,salvia,"4""",26.95
8,high,salvia,"4""",27.75
9,high,salvia,"4""",30.525
10,high,salvia,"4""",37.825
11,high,salvia,"4""",42.975
12,high,salvia,"4""",44.525
13,high,salvia,"4""",47.15
14,high,salvia,"4""",38.875
15,high,salvia,"4""",38.7
16,high,salvia,"4""",38.15
17,high,salvia,"4""",37.2
18,high,salvia,"4""",36
19,high,salvia,"4""",36.8
20,high,salvia,"4""",37.85
21,high,salvia,"4""",40.2
22,high,salvia,"4""",51.1
23,high,salvia,"4""",52.85
1,low,salvia,1gal,14.225
2,low,salvia,1gal,13.14583333
3,low,salvia,1gal,16.58333333
4,low,salvia,1gal,18.25
5,low,salvia,1gal,19.52083333
6,low,salvia,1gal,19.95833333
7,low,salvia,1gal,19.5
8,low,salvia,1gal,20.47916667
9,low,salvia,1gal,23.25
10,low,salvia,1gal,32.125
11,low,salvia,1gal,38.41666667
12,low,salvia,1gal,41.5625
13,low,salvia,1gal,45.66666667
14,low,salvia,1gal,45.33333333
15,low,salvia,1gal,45.97916667
16,low,salvia,1gal,45.33333333
17,low,salvia,1gal,43.91666667
18,low,salvia,1gal,42.45833333
19,low,salvia,1gal,42.70833333
20,low,salvia,1gal,44.25
21,low,salvia,1gal,43.79166667
22,low,salvia,1gal,50.16666667
23,low,salvia,1gal,55.29166667
1,low,salvia,"4""",14
2,low,salvia,"4""",13.1875
3,low,salvia,"4""",14.4375
4,low,salvia,"4""",15
5,low,salvia,"4""",15.3125
6,low,salvia,"4""",15.875
7,low,salvia,"4""",15.40625
8,low,salvia,"4""",15.21875
9,low,salvia,"4""",20.25
10,low,salvia,"4""",31.25
11,low,salvia,"4""",36.375
12,low,salvia,"4""",42.28125
13,low,salvia,"4""",50.5625
14,low,salvia,"4""",48.125
15,low,salvia,"4""",49.625
16,low,salvia,"4""",47
17,low,salvia,"4""",46.5625
18,low,salvia,"4""",46
19,low,salvia,"4""",47.5
20,low,salvia,"4""",48.6875
21,low,salvia,"4""",50.5
22,low,salvia,"4""",52.9375
23,low,salvia,"4""",55.9375
1,med,salvia,1gal,11.575
2,med,salvia,1gal,13.6
3,med,salvia,1gal,18.75
4,med,salvia,1gal,24.05
5,med,salvia,1gal,25.5
6,med,salvia,1gal,25.05
7,med,salvia,1gal,25.9
8,med,salvia,1gal,26.5
9,med,salvia,1gal,29.775
10,med,salvia,1gal,35.85
11,med,salvia,1gal,40.5
12,med,salvia,1gal,50.95
13,med,salvia,1gal,55.3
14,med,salvia,1gal,52.05
15,med,salvia,1gal,49.75
16,med,salvia,1gal,50.55
17,med,salvia,1gal,49.5
18,med,salvia,1gal,48.75
19,med,salvia,1gal,50.95
20,med,salvia,1gal,49.8
21,med,salvia,1gal,50.7
22,med,salvia,1gal,55
23,med,salvia,1gal,56.3
1,med,salvia,"4""",11.375
2,med,salvia,"4""",12.3
3,med,salvia,"4""",17.4
4,med,salvia,"4""",21.5
5,med,salvia,"4""",25.0625
6,med,salvia,"4""",23.4375
7,med,salvia,"4""",24.25
8,med,salvia,"4""",25.5625
9,med,salvia,"4""",27.4375
10,med,salvia,"4""",35.71875
11,med,salvia,"4""",37.6875
12,med,salvia,"4""",46.75
13,med,salvia,"4""",49.8125
14,med,salvia,"4""",51.4375
15,med,salvia,"4""",51.1875
16,med,salvia,"4""",50.5625
17,med,salvia,"4""",47.9375
18,med,salvia,"4""",47.6875
19,med,salvia,"4""",50.3125
20,med,salvia,"4""",49.75
21,med,salvia,"4""",50.1875
22,med,salvia,"4""",54.75
23,med,salvia,"4""",58.75
1,high,ceo,"4""",18.1
2,high,ceo,"4""",15.775
3,high,ceo,"4""",15.55
4,high,ceo,"4""",16.425
5,high,ceo,"4""",19.975
6,high,ceo,"4""",20.9
7,high,ceo,"4""",20.15
8,high,ceo,"4""",20.55
9,high,ceo,"4""",21.775
10,high,ceo,"4""",24.275
11,high,ceo,"4""",26.375
12,high,ceo,"4""",26.825
13,high,ceo,"4""",29.225
14,high,ceo,"4""",32.85
15,high,ceo,"4""",32.7
16,high,ceo,"4""",33.5
17,high,ceo,"4""",33.1
18,high,ceo,"4""",32.25
19,high,ceo,"4""",32.05
20,high,ceo,"4""",31.925
21,high,ceo,"4""",32.45
22,high,ceo,"4""",32.25
23,high,ceo,"4""",34.25
1,high,ceo,1gal,13.975
2,high,ceo,1gal,14.1
3,high,ceo,1gal,16.1
4,high,ceo,1gal,18.55
5,high,ceo,1gal,25.65
6,high,ceo,1gal,23.4
7,high,ceo,1gal,24
8,high,ceo,1gal,21.825
9,high,ceo,1gal,25.125
10,high,ceo,1gal,24.575
11,high,ceo,1gal,26.1
12,high,ceo,1gal,27.55
13,high,ceo,1gal,29.7
14,high,ceo,1gal,32.475
15,high,ceo,1gal,32.625
16,high,ceo,1gal,33.9375
17,high,ceo,1gal,33
18,high,ceo,1gal,31.25
19,high,ceo,1gal,31.0625
20,high,ceo,1gal,29.6875
21,high,ceo,1gal,31.875
22,high,ceo,1gal,33.375
23,high,ceo,1gal,34.4375
1,low,ceo,"4""",18.725
2,low,ceo,"4""",15.85
3,low,ceo,"4""",15.7
4,low,ceo,"4""",15.75
5,low,ceo,"4""",14.85
6,low,ceo,"4""",14.1
7,low,ceo,"4""",13.525
8,low,ceo,"4""",13.2
9,low,ceo,"4""",14.725
10,low,ceo,"4""",14.725
11,low,ceo,"4""",17.7
12,low,ceo,"4""",19.15
13,low,ceo,"4""",22.175
14,low,ceo,"4""",24.85
15,low,ceo,"4""",27.775
16,low,ceo,"4""",26.85
17,low,ceo,"4""",27.35
18,low,ceo,"4""",28.2
19,low,ceo,"4""",27.2
20,low,ceo,"4""",26.1
21,low,ceo,"4""",26.35
22,low,ceo,"4""",25
23,low,ceo,"4""",32.05
1,low,ceo,1gal,16.55
2,low,ceo,1gal,16.425
3,low,ceo,1gal,16.5
4,low,ceo,1gal,18.75
5,low,ceo,1gal,18.05
6,low,ceo,1gal,17.8
7,low,ceo,1gal,17.55
8,low,ceo,1gal,16.2
9,low,ceo,1gal,18.55
10,low,ceo,1gal,19.2
11,low,ceo,1gal,21.1
12,low,ceo,1gal,22.9
13,low,ceo,1gal,27.35
14,low,ceo,1gal,30.7
15,low,ceo,1gal,34.15
16,low,ceo,1gal,31.8
17,low,ceo,1gal,31.4
18,low,ceo,1gal,33.2
19,low,ceo,1gal,32.15
20,low,ceo,1gal,33.15
21,low,ceo,1gal,33
22,low,ceo,1gal,31.3
23,low,ceo,1gal,34.75
1,med,ceo,"4""",14.85
2,med,ceo,"4""",13.44
3,med,ceo,"4""",14.45
4,med,ceo,"4""",18.3
5,med,ceo,"4""",19.125
6,med,ceo,"4""",19.35
7,med,ceo,"4""",20.55
8,med,ceo,"4""",20
9,med,ceo,"4""",24.175
10,med,ceo,"4""",24.65
11,med,ceo,"4""",26.55
12,med,ceo,"4""",29.225
13,med,ceo,"4""",36.15
14,med,ceo,"4""",40.5
15,med,ceo,"4""",49.25
16,med,ceo,"4""",40.75
17,med,ceo,"4""",46.45
18,med,ceo,"4""",43.7
19,med,ceo,"4""",43.8
20,med,ceo,"4""",42.3
21,med,ceo,"4""",42.9
22,med,ceo,"4""",41
23,med,ceo,"4""",41.6
1,med,ceo,1gal,13.9
2,med,ceo,1gal,15.15
3,med,ceo,1gal,20.05
4,med,ceo,1gal,23.3
5,med,ceo,1gal,25.95
6,med,ceo,1gal,22.55
7,med,ceo,1gal,26.025
8,med,ceo,1gal,27.35
9,med,ceo,1gal,26.55
10,med,ceo,1gal,27.625
11,med,ceo,1gal,29.7
12,med,ceo,1gal,32.9
13,med,ceo,1gal,37.75
14,med,ceo,1gal,44.9
15,med,ceo,1gal,48.85
16,med,ceo,1gal,47.25
17,med,ceo,1gal,50.45
18,med,ceo,1gal,47.05
19,med,ceo,1gal,48.25
20,med,ceo,1gal,48.35
21,med,ceo,1gal,46.45
22,med,ceo,1gal,47.45
23,med,ceo,1gal,52.7
1,high,dip,"4""",16.225
2,high,dip,"4""",14.225
3,high,dip,"4""",17.325
4,high,dip,"4""",19.875
5,high,dip,"4""",25.15
6,high,dip,"4""",24.1
7,high,dip,"4""",24.6
8,high,dip,"4""",24.6
9,high,dip,"4""",26.6
10,high,dip,"4""",27.375
11,high,dip,"4""",27.925
12,high,dip,"4""",26.55
13,high,dip,"4""",27.6
14,high,dip,"4""",26.125
15,high,dip,"4""",27.125
16,high,dip,"4""",26.5
17,high,dip,"4""",25.25
18,high,dip,"4""",25.5625
19,high,dip,"4""",19.8125
20,high,dip,"4""",18.5
21,high,dip,"4""",18.5625
22,high,dip,"4""",19.5
23,high,dip,"4""",19
1,high,dip,1gal,15
2,high,dip,1gal,14.45
3,high,dip,1gal,15.9
4,high,dip,1gal,16.5
5,high,dip,1gal,20.85
6,high,dip,1gal,22.65
7,high,dip,1gal,22.65
8,high,dip,1gal,23.85
9,high,dip,1gal,24.65
10,high,dip,1gal,24.875
11,high,dip,1gal,26.875
12,high,dip,1gal,27.55
13,high,dip,1gal,29.85
14,high,dip,1gal,32.15
15,high,dip,1gal,29.225
16,high,dip,1gal,21.975
17,high,dip,1gal,22.05
18,high,dip,1gal,23
19,high,dip,1gal,21.85
20,high,dip,1gal,21.65
21,high,dip,1gal,23.35
22,high,dip,1gal,23.4
23,high,dip,1gal,24.5
1,low,dip,"4""",14.65
2,low,dip,"4""",13.07916667
3,low,dip,"4""",14.625
4,low,dip,"4""",16.14583333
5,low,dip,"4""",15.85416667
6,low,dip,"4""",16
7,low,dip,"4""",16.45833333
8,low,dip,"4""",15.70833333
9,low,dip,"4""",17.70833333
10,low,dip,"4""",19.425
11,low,dip,"4""",20.6
12,low,dip,"4""",22.375
13,low,dip,"4""",28.78125
14,low,dip,"4""",31.3125
15,low,dip,"4""",36.58333333
16,low,dip,"4""",37.75
17,low,dip,"4""",35.5
18,low,dip,"4""",35.75
19,low,dip,"4""",34.75
20,low,dip,"4""",33.5
21,low,dip,"4""",33.83333333
22,low,dip,"4""",35.66666667
23,low,dip,"4""",34
1,low,dip,1gal,11.6875
2,low,dip,1gal,12.09375
3,low,dip,1gal,16.5
4,low,dip,1gal,18.0625
5,low,dip,1gal,17.65625
6,low,dip,1gal,17.9375
7,low,dip,1gal,18.875
8,low,dip,1gal,18.5625
9,low,dip,1gal,20.78125
10,low,dip,1gal,22.0625
11,low,dip,1gal,23.125
12,low,dip,1gal,23.9375
13,low,dip,1gal,27.75
14,low,dip,1gal,30.59375
15,low,dip,1gal,29.03125
16,low,dip,1gal,28.4375
17,low,dip,1gal,27.1875
18,low,dip,1gal,27.5
19,low,dip,1gal,27.6875
20,low,dip,1gal,27.875
21,low,dip,1gal,27.125
22,low,dip,1gal,27.3125
23,low,dip,1gal,26.125
1,med,dip,"4""",11.65
2,med,dip,"4""",11.825
3,med,dip,"4""",13.95
4,med,dip,"4""",16.175
5,med,dip,"4""",19
6,med,dip,"4""",16.35
7,med,dip,"4""",21.1875
8,med,dip,"4""",21.875
9,med,dip,"4""",23.15625
10,med,dip,"4""",23.625
11,med,dip,"4""",23.6875
12,med,dip,"4""",27.9375
13,med,dip,"4""",30.6875
14,med,dip,"4""",31.625
15,med,dip,"4""",31.1875
16,med,dip,"4""",27
17,med,dip,"4""",33.625
18,med,dip,"4""",32.25
19,med,dip,"4""",30.875
20,med,dip,"4""",32.625
21,med,dip,"4""",33.83333333
22,med,dip,"4""",33.125
23,med,dip,"4""",26.5
1,med,dip,1gal,9.75
2,med,dip,1gal,10.5
3,med,dip,1gal,13
4,med,dip,1gal,15.45
5,med,dip,1gal,18.525
6,med,dip,1gal,17.475
7,med,dip,1gal,19.425
8,med,dip,1gal,19.75
9,med,dip,1gal,21.825
10,med,dip,1gal,23.075
11,med,dip,1gal,22.75
12,med,dip,1gal,28.5
13,med,dip,1gal,34.1
14,med,dip,1gal,37.5
15,med,dip,1gal,34.75
16,med,dip,1gal,31.55
17,med,dip,1gal,29.5
18,med,dip,1gal,29.15
19,med,dip,1gal,29.2
20,med,dip,1gal,28.95
21,med,dip,1gal,27.125
22,med,dip,1gal,26.75
23,med,dip,1gal,26.6875

